bill_id,model,input_tokens,output_tokens,input_cost_usd,output_cost_usd,total_cost_usd,source
bill_01,gemini,,42.5,,0.000319,0.000319,estimated_output_only
bill_02,gemini,,39.0,,0.000293,0.000293,estimated_output_only
bill_03,gemini,,40.2,,0.000302,0.000302,estimated_output_only
bill_04,gemini,,38.5,,0.000289,0.000289,estimated_output_only
bill_05,gemini,,37.5,,0.000281,0.000281,estimated_output_only
bill_06,gemini,,37.2,,0.000279,0.000279,estimated_output_only
bill_07,gemini,,39.5,,0.000296,0.000296,estimated_output_only
bill_08,gemini,,34.0,,0.000255,0.000255,estimated_output_only
bill_09,gemini,,35.5,,0.000266,0.000266,estimated_output_only
bill_10,gemini,,39.2,,0.000294,0.000294,estimated_output_only
bill_11,gemini,,37.0,,0.000277,0.000277,estimated_output_only
bill_12,gemini,,36.8,,0.000276,0.000276,estimated_output_only
bill_13,gemini,,300.2,,0.002252,0.002252,estimated_output_only
bill_01,groq,,237.0,,0.000711,0.000711,estimated_output_only
bill_02,groq,,224.2,,0.000673,0.000673,estimated_output_only
bill_03,groq,,516.2,,0.001549,0.001549,estimated_output_only
bill_04,groq,,389.2,,0.001168,0.001168,estimated_output_only
bill_05,groq,,665.2,,0.001996,0.001996,estimated_output_only
bill_06,groq,,480.2,,0.001441,0.001441,estimated_output_only
bill_07,groq,,276.8,,0.00083,0.00083,estimated_output_only
bill_08,groq,,300.2,,0.000901,0.000901,estimated_output_only
bill_09,groq,,312.0,,0.000936,0.000936,estimated_output_only
bill_10,groq,,172.5,,0.000517,0.000517,estimated_output_only
bill_11,groq,,182.8,,0.000548,0.000548,estimated_output_only
bill_12,groq,,507.5,,0.001522,0.001522,estimated_output_only
bill_13,groq,,252.2,,0.000757,0.000757,estimated_output_only
bill_01,mistral,,49.5,,7e-06,7e-06,estimated_output_only
bill_02,mistral,,51.5,,8e-06,8e-06,estimated_output_only
bill_03,mistral,,43.2,,6e-06,6e-06,estimated_output_only
bill_04,mistral,,40.5,,6e-06,6e-06,estimated_output_only
bill_05,mistral,,40.2,,6e-06,6e-06,estimated_output_only
bill_06,mistral,,38.2,,6e-06,6e-06,estimated_output_only
bill_07,mistral,,45.5,,7e-06,7e-06,estimated_output_only
bill_08,mistral,,41.2,,6e-06,6e-06,estimated_output_only
bill_09,mistral,,40.2,,6e-06,6e-06,estimated_output_only
bill_10,mistral,,45.5,,7e-06,7e-06,estimated_output_only
bill_11,mistral,,42.0,,6e-06,6e-06,estimated_output_only
bill_12,mistral,,39.5,,6e-06,6e-06,estimated_output_only
bill_13,mistral,,44.0,,7e-06,7e-06,estimated_output_only
